"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"677","Washington, DC",1896,22562,7662,4099,11,6577,475,430,2708,242804
"678","Newark, New Jersey",1896,7156,3901,702,15,2679,326,214,NA,220054
"679","Louisville, Kentucky",1896,6947,3235,834,37,NA,289,247,NA,188289
"680","Detroit, Michigan",1896,6529,2991,NA,NA,NA,490,NA,NA,253773
"681","Milwaukee, Wisconsin",1896,5441,3598,816,10,450,321,275,5910,252976
"682","Providence, Rhode Island",1896,8073,5375,974,4,NA,275,209,NA,154316
"683","Rochester, New York",1896,NA,NA,NA,NA,NA,NA,NA,NA,151123
"684","Pittsburgh, Pennsylvania",1896,15452,9280,3513,10,6527,380,NA,21877,287997
"685","Richmond, Virginia",1896,5538,1920,1023,14,NA,100,83,NA,83584
"686","New Haven, Connecticut",1896,6181,4159,328,4,NA,179,125,NA,99234
"687","Lowell, Massachusetts",1896,5879,4150,140,2,NA,114,94,6096,88060
"688","New York, New York",1897,108033,53716,13216,199,NA,5002,4632,NA,3158265
"689","Philadelphia, Pennsylvania",1897,62628,34857,8141,43,NA,2611,1934,64613,1219677
"690","Chicago, Illinois",1897,83680,45844,999,37,55020,3594,2736,204964,1518958
"691","Boston, Massachusetts",1897,45659,30604,2329,21,2407,1173,893,NA,527168
"692","St. Louis, Missouri",1897,24211,3277,2350,94,NA,NA,685,33787,538198
"693","Baltimore, Maryland",1897,34293,NA,NA,NA,NA,832,625,NA,486602
"694","Cincinnati, Ohio",1897,16502,3897,4247,26,NA,531,358,24707,317204
"695","San Francisco, California",1897,29168,14572,3046,43,NA,559,NA,985,329646
"696","New Orleans, Louisiana",1897,21689,NA,NA,NA,NA,NA,NA,NA,273585
"697","Cleveland, Ohio",1897,14481,8095,668,9,1950,355,295,NA,345644
"698","Buffalo, New York",1897,25573,15174,4315,9,1778,711,468,2385,323370
"699","Washington, DC",1897,22859,7467,2883,12,8694,525,435,1483,251782
"700","Newark, New Jersey",1897,7183,4222,593,18,2855,337,226,NA,226558
"701","Louisville, Kentucky",1897,7379,4165,511,37,NA,291,253,NA,192649
"702","Detroit, Michigan",1897,7197,3320,1222,2,2141,510,421,NA,261756
"703","Milwaukee, Wisconsin",1897,5695,3614,NA,3,867,321,275,NA,261061
"704","Providence, Rhode Island",1897,8474,5451,1348,3,NA,314,223,NA,158661
"705","Rochester, New York",1897,NA,NA,NA,NA,NA,NA,NA,NA,153994
"706","Pittsburgh, Pennsylvania",1897,16470,9523,4107,23,6734,367,NA,21074,296227
"707","Richmond, Virginia",1897,4694,1708,505,1,NA,100,83,NA,83950
"708","New Haven, Connecticut",1897,7033,4486,521,6,NA,176,124,NA,101432
"709","Lowell, Massachusetts",1897,4377,3013,150,0,NA,114,NA,556,89787
"710","New York, New York",1898,141745,77630,14405,346,NA,7457,6757,NA,3251244
"711","Philadelphia, Pennsylvania",1898,62907,37729,6118,37,NA,2612,1934,56461,1244350
"712","Chicago, Illinois",1898,77441,42212,518,40,51239,3304,2492,139579,1578830
"713","Boston, Massachusetts",1898,41816,27104,2470,20,2588,1182,894,NA,538409
"714","St. Louis, Missouri",1898,26253,2997,2524,47,NA,NA,685,13687,550544
"715","Baltimore, Maryland",1898,32096,14926,698,32,20904,850,617,55,494053
"716","Cincinnati, Ohio",1898,15504,3419,5332,40,NA,530,379,11650,320103
"717","San Francisco, California",1898,28013,14399,2836,48,NA,559,NA,NA,334025
"718","New Orleans, Louisiana",1898,21347,7490,NA,64,NA,370,247,1314,278091
"719","Cleveland, Ohio",1898,14452,8452,503,16,2722,355,295,NA,357685
"720","Buffalo, New York",1898,24489,13551,3779,8,1661,782,568,2125,333042
"721","Washington, DC",1898,25237,8567,4636,18,7118,545,450,910,260761
"722","Newark, New Jersey",1898,6268,3708,337,13,2221,335,223,NA,233062
"723","Louisville, Kentucky",1898,7280,4208,861,29,NA,250,215,NA,197009
"724","Detroit, Michigan",1898,7052,3330,1122,2,1785,513,418,NA,269738
"725","Milwaukee, Wisconsin",1898,6062,3466,874,4,460,321,275,4713,269146
"726","Providence, Rhode Island",1898,8126,5564,829,4,NA,338,235,NA,163006
"727","Rochester, New York",1898,NA,NA,NA,NA,NA,NA,NA,NA,156886
"728","Pittsburgh, Pennsylvania",1898,NA,10152,NA,5,7536,397,NA,NA,304457
"729","Richmond, Virginia",1898,4617,1671,560,9,NA,100,83,NA,84316
"730","New Haven, Connecticut",1898,6728,3353,437,2,NA,176,126,NA,103631
"731","Lowell, Massachusetts",1898,NA,NA,NA,NA,NA,NA,NA,231,91514
"732","New York, New York",1899,138875,76804,14013,404,NA,7335,6629,NA,3344223
"733","Philadelphia, Pennsylvania",1899,62075,38699,5178,27,NA,2620,1934,44361,1269024
"734","Chicago, Illinois",1899,71349,40279,502,38,NA,3267,NA,114153,1638702
"735","Boston, Massachusetts",1899,39760,24653,2458,23,2181,1147,883,NA,549650
"736","St. Louis, Missouri",1899,24420,11080,1134,61,3137,NA,685,10311,562891
"737","Baltimore, Maryland",1899,29335,13988,638,23,19668,850,617,41,501505
"738","Cincinnati, Ohio",1899,15540,3346,5074,30,NA,531,379,3061,323003
"739","San Francisco, California",1899,27769,14835,2778,59,NA,559,NA,696,338404
"740","New Orleans, Louisiana",1899,NA,NA,NA,NA,NA,NA,NA,NA,282598
"741","Cleveland, Ohio",1899,15674,9408,507,26,2641,355,295,NA,369726
"742","Buffalo, New York",1899,23338,14206,2643,10,1280,783,566,1010,342715
"743","Washington, DC",1899,25923,9092,4291,21,6829,552,500,484,269739
"744","Newark, New Jersey",1899,6590,3903,463,29,2096,NA,245,NA,239566
"745","Louisville, Kentucky",1899,7700,4834,752,18,NA,330,264,NA,201369
"746","Detroit, Michigan",1899,7443,3854,1087,4,1837,553,419,NA,277721
"747","Milwaukee, Wisconsin",1899,5266,3292,555,6,453,321,275,3231,277231
"748","Providence, Rhode Island",1899,8663,6152,632,2,NA,338,235,NA,167351
"749","Rochester, New York",1899,NA,NA,NA,NA,NA,NA,NA,NA,159737
"750","Pittsburgh, Pennsylvania",1899,18762,11444,3759,15,7811,413,NA,13812,312687
"751","Richmond, Virginia",1899,4493,1988,530,7,NA,100,83,NA,84682
"752","New Haven, Connecticut",1899,6314,4148,462,1,NA,178,122,NA,105829
"753","Lowell, Massachusetts",1899,3924,2906,221,1,NA,139,110,119,93242
"754","New York, New York",1900,132805,NA,14531,NA,NA,7395,NA,NA,3437202
"755","Philadelphia, Pennsylvania",1900,65630,41428,4741,63,NA,2779,2034,40789,1293697
"756","Chicago, Illinois",1900,70438,34965,818,28,45247,3225,2430,126014,1698575
"757","Boston, Massachusetts",1900,33655,19263,2665,33,2492,1213,948,NA,560892
"758","St. Louis, Missouri",1900,23480,10570,1636,31,3516,1254,850,5515,575238
"759","Baltimore, Maryland",1900,30823,14778,643,29,20995,981,700,52,508957
"760","Cincinnati, Ohio",1900,16331,3617,5491,30,NA,528,378,2210,325902
"761","San Francisco, California",1900,26448,15459,2107,86,NA,588,489,352,342782
"762","New Orleans, Louisiana",1900,17839,7649,NA,61,NA,367,245,1612,287104
"763","Cleveland, Ohio",1900,19923,10360,783,22,4754,376,295,NA,381768
"764","Buffalo, New York",1900,28347,17018,3224,6,1737,783,566,688,352387
"765","Washington, DC",1900,25943,9593,3894,18,6517,571,525,135,278718
"766","Newark, New Jersey",1900,7232,3725,473,17,2729,382,250,NA,246070
"767","Louisville, Kentucky",1900,8048,5143,727,35,NA,329,255,NA,204731
"768","Detroit, Michigan",1900,7795,4032,1050,5,NA,557,NA,NA,285704
"769","Milwaukee, Wisconsin",1900,4811,2903,430,6,425,322,273,2455,285315
"770","Providence, Rhode Island",1900,9440,6351,830,5,NA,338,235,NA,175597
"771","Rochester, New York",1900,NA,NA,NA,NA,NA,NA,NA,NA,162608
"772","Pittsburgh, Pennsylvania",1900,NA,NA,NA,NA,NA,NA,NA,NA,321616
"773","Richmond, Virginia",1900,4860,2081,578,8,NA,100,83,NA,85050
"774","New Haven, Connecticut",1900,6165,3658,718,1,NA,175,116,NA,108027
"775","Lowell, Massachusetts",1900,4213,3189,195,1,NA,139,110,101,94969
"776","New York, New York",1901,133749,73589,14213,429,NA,7458,6557,NA,3570190
"777","Philadelphia, Pennsylvania",1901,61189,38026,3778,60,NA,2902,2074,37114,1319228
"778","Chicago, Illinois",1901,69442,32469,750,37,40318,3274,2460,95591,1747246
"779","Boston, Massachusetts",1901,34500,20111,2419,32,2574,1275,983,NA,571861
"780","St. Louis, Missouri",1901,23666,10468,2557,61,3522,1433,850,7529,586417
"781","Baltimore, Maryland",1901,31423,15376,845,21,21185,981,700,68,513910
"782","Cincinnati, Ohio",1901,20584,3459,5326,39,NA,530,368,4646,329671
"783","San Francisco, California",1901,27362,16649,1848,55,NA,588,NA,1082,350195
"784","New Orleans, Louisiana",1901,17221,8405,NA,66,NA,367,237,1526,292301
"785","Cleveland, Ohio",1901,19219,10988,801,31,7518,361,295,NA,399658
"786","Buffalo, New York",1901,25057,15343,2253,17,1532,784,566,537,359520
"787","Washington, DC",1901,26062,10586,3034,12,6110,607,540,59,283953
"788","Newark, New Jersey",1901,6399,2930,343,27,2260,392,271,NA,256210
"789","Louisville, Kentucky",1901,7396,4115,685,44,NA,317,283,NA,206651
"790","Detroit, Michigan",1901,8228,4024,1256,6,2180,555,419,NA,303710
"791","Milwaukee, Wisconsin",1901,4794,2872,351,2,567,322,273,2568,294169
"792","Providence, Rhode Island",1901,9025,5934,586,4,NA,338,235,NA,180470
"793","Rochester, New York",1901,NA,NA,NA,NA,NA,NA,NA,NA,168162
"794","Pittsburgh, Pennsylvania",1901,NA,NA,NA,NA,NA,NA,NA,NA,342845
"795","Richmond, Virginia",1901,5137,1876,750,0,NA,100,83,NA,89308
"796","New Haven, Connecticut",1901,5229,3271,350,4,NA,175,119,NA,110585
"797","Lowell, Massachusetts",1901,4730,2513,187,0,NA,145,NA,94,96102
"798","New York, New York",1902,145936,79290,14283,510,NA,7625,6787,NA,3703178
"799","Philadelphia, Pennsylvania",1902,65468,39954,3659,57,NA,2980,2074,6045,1344759
"800","Chicago, Illinois",1902,70314,34405,581,29,41693,3168,2385,11097,1795917
"801","Boston, Massachusetts",1902,34732,19713,2556,28,2707,1262,992,NA,582831
"802","St. Louis, Missouri",1902,25564,11642,1529,56,4005,1246,850,3984,597596
"803","Baltimore, Maryland",1902,31362,15666,708,33,13112,985,700,78,518863
"804","Cincinnati, Ohio",1902,15822,1831,5260,34,NA,536,380,1851,333440
"805","San Francisco, California",1902,28480,16195,2488,73,NA,607,NA,NA,357608
"806","New Orleans, Louisiana",1902,16472,7381,NA,72,NA,390,258,1340,297498
"807","Cleveland, Ohio",1902,18236,11104,629,28,8618,361,295,NA,417547
"808","Buffalo, New York",1902,18716,11881,1734,8,1043,784,566,734,366653
"809","Washington, DC",1902,29543,10596,3968,17,8296,626,575,NA,289188
"810","Newark, New Jersey",1902,6912,3582,313,13,2268,400,286,NA,266350
"811","Louisville, Kentucky",1902,7958,4642,880,35,NA,329,271,NA,208571
"812","Detroit, Michigan",1902,8274,3845,1260,8,2229,567,429,NA,321716
"813","Milwaukee, Wisconsin",1902,5260,3118,620,5,608,319,269,2016,303023
"814","Providence, Rhode Island",1902,10112,6216,739,2,NA,340,238,NA,185343
"815","Rochester, New York",1902,5117,1772,697,5,NA,207,136,344,173706
"816","Pittsburgh, Pennsylvania",1902,NA,NA,NA,NA,NA,NA,NA,NA,364074
"817","Richmond, Virginia",1902,6153,2376,603,12,NA,101,82,NA,93566
"818","New Haven, Connecticut",1902,5149,3410,307,6,NA,169,116,NA,113143
"819","Lowell, Massachusetts",1902,NA,NA,NA,NA,NA,151,125,90,97234
"820","New York, New York",1903,175871,101431,14945,579,NA,8089,7080,NA,3836166
"821","Philadelphia, Pennsylvania",1903,75699,45499,4808,68,NA,3086,2170,NA,1370290
"822","Chicago, Illinois",1903,77763,40186,631,57,46597,3205,2549,5826,1844587
"823","Boston, Massachusetts",1903,43033,28234,2365,22,2385,1300,1000,NA,593800
"824","St. Louis, Missouri",1903,25524,12196,1845,66,4641,NA,850,6914,608775
"825","Baltimore, Maryland",1903,28150,14366,539,42,13651,985,700,81,523815
"826","Cincinnati, Ohio",1903,16192,3736,4740,20,NA,532,386,4597,337209
"827","San Francisco, California",1903,29336,NA,NA,NA,NA,643,NA,NA,365021
"828","New Orleans, Louisiana",1903,16046,6755,NA,58,NA,384,251,895,302695
"829","Cleveland, Ohio",1903,22250,13383,1158,45,10553,435,350,NA,435436
"830","Buffalo, New York",1903,NA,NA,NA,NA,NA,784,566,NA,373785
"831","Washington, DC",1903,29839,11444,2063,14,8648,640,589,NA,294423
"832","Newark, New Jersey",1903,7394,3967,652,26,2477,424,287,NA,276490
"833","Louisville, Kentucky",1903,6945,3947,742,27,NA,329,271,NA,210490
"834","Detroit, Michigan",1903,8978,NA,NA,8,NA,568,NA,NA,339726
"835","Milwaukee, Wisconsin",1903,5737,3419,576,5,550,327,276,1933,311878
"836","Providence, Rhode Island",1903,11257,6677,1617,4,NA,340,NA,NA,190216
"837","Rochester, New York",1903,5404,1825,800,2,NA,206,136,110,179270
"838","Pittsburgh, Pennsylvania",1903,NA,NA,NA,NA,NA,NA,NA,NA,385303
"839","Richmond, Virginia",1903,7090,3525,549,11,NA,101,82,NA,97823
"840","New Haven, Connecticut",1903,5246,3448,336,3,NA,174,124,NA,115700
"841","Lowell, Massachusetts",1903,5209,3910,244,1,NA,151,125,87,98366
"842","New York, New York",1904,175880,92514,15297,630,NA,8218,7203,NA,3969154
"843","Philadelphia, Pennsylvania",1904,73061,43944,4912,74,NA,3089,2170,NA,1395821
"844","Chicago, Illinois",1904,66713,45577,69,65,43045,3168,2316,12577,1893258
"845","Boston, Massachusetts",1904,50265,34041,2897,26,2920,1328,1004,NA,604769
"846","St. Louis, Missouri",1904,30560,13499,3017,64,NA,NA,1100,5946,619954
"847","Baltimore, Maryland",1904,30999,15622,606,41,13053,1001,702,173,528768
"848","Cincinnati, Ohio",1904,17849,3836,5992,46,NA,534,380,8627,340978
"849","San Francisco, California",1904,36208,NA,NA,NA,NA,671,NA,NA,372434
"850","New Orleans, Louisiana",1904,15879,6833,NA,54,NA,NA,NA,920,307892
"851","Cleveland, Ohio",1904,24728,13563,1920,28,NA,494,400,NA,453326
"852","Buffalo, New York",1904,19608,11038,1714,13,NA,784,566,1465,380918
"853","Washington, DC",1904,29483,11496,2137,12,7438,686,635,NA,299658
"854","Newark, New Jersey",1904,6626,3541,263,24,2089,424,289,NA,286630
"855","Louisville, Kentucky",1904,6793,NA,NA,NA,NA,330,NA,NA,212410
"856","Detroit, Michigan",1904,8857,4117,1328,9,1665,569,425,NA,357729
"857","Milwaukee, Wisconsin",1904,5666,3244,443,6,520,368,306,2568,320732
"858","Providence, Rhode Island",1904,11222,6338,1774,2,NA,340,NA,NA,195089
"859","Rochester, New York",1904,6691,2176,1300,2,NA,215,143,NA,184824
"860","Pittsburgh, Pennsylvania",1904,NA,NA,NA,NA,NA,NA,NA,NA,406532
"861","Richmond, Virginia",1904,6525,3279,590,15,NA,101,81,NA,102081
"862","New Haven, Connecticut",1904,5333,3399,208,5,NA,178,115,NA,118258
"863","Lowell, Massachusetts",1904,3934,2672,416,0,NA,147,NA,82,99499
"864","New York, New York",1905,198356,100880,16324,735,NA,8766,7713,NA,4102143
"865","Philadelphia, Pennsylvania",1905,80855,45738,4129,65,NA,3088,2171,NA,1421352
"866","Chicago, Illinois",1905,82572,45847,363,186,50436,3046,2196,NA,1941929
"867","Boston, Massachusetts",1905,48358,NA,NA,NA,NA,1333,1009,NA,615738
"868","St. Louis, Missouri",1905,26225,12947,2088,43,4012,NA,1100,6840,631134
"869","Baltimore, Maryland",1905,34036,17780,496,40,14242,1005,722,105,533721
"870","Cincinnati, Ohio",1905,18879,4281,6118,41,NA,549,396,13746,344746
"871","San Francisco, California",1905,33893,18697,2664,84,NA,707,NA,NA,379847
"872","New Orleans, Louisiana",1905,24418,9113,NA,72,NA,NA,NA,660,313090
"873","Cleveland, Ohio",1905,27926,16383,1337,32,NA,544,450,NA,471216
"874","Buffalo, New York",1905,20475,11542,2244,6,1227,784,566,1249,388050
"875","Washington, DC",1905,32016,12104,2232,13,8134,692,635,NA,304894
"876","Newark, New Jersey",1905,7541,3991,633,27,2530,463,294,NA,296770
"877","Louisville, Kentucky",1905,7545,3169,1029,42,NA,330,262,NA,214330
"878","Detroit, Michigan",1905,11113,5836,1740,9,1934,620,454,NA,375735
"879","Milwaukee, Wisconsin",1905,6153,3603,650,8,510,369,307,3273,329586
"880","Providence, Rhode Island",1905,11073,6300,1493,5,NA,340,248,NA,199962
"881","Rochester, New York",1905,6970,2697,1152,4,NA,225,185,NA,190378
"882","Pittsburgh, Pennsylvania",1905,NA,NA,NA,NA,NA,NA,NA,NA,427761
"883","Richmond, Virginia",1905,7123,3693,1001,11,NA,101,NA,NA,106339
"884","New Haven, Connecticut",1905,5619,NA,327,15,NA,174,121,NA,120816
"885","Lowell, Massachusetts",1905,4915,3731,159,1,NA,143,118,90,100632
"886","New York, New York",1906,189202,90818,17539,883,87803,8872,7810,NA,4235131
"887","Philadelphia, Pennsylvania",1906,83325,48121,3937,102,NA,3097,2176,NA,1446884
"888","Chicago, Illinois",1906,91554,49230,379,101,59706,4077,3145,13540,1990599
"889","Boston, Massachusetts",1906,49906,33186,2069,18,2343,1359,1005,NA,626708
"890","St. Louis, Missouri",1906,29315,16670,1341,55,4459,NA,1100,2745,642313
"891","Baltimore, Maryland",1906,34511,19800,486,43,13920,1032,725,43,538674
"892","Cincinnati, Ohio",1906,16991,4380,5459,43,NA,551,408,1036,348515
"893","San Francisco, California",1906,NA,NA,NA,NA,NA,708,NA,NA,387260
"894","New Orleans, Louisiana",1906,26827,11257,NA,84,NA,NA,NA,1140,318287
"895","Cleveland, Ohio",1906,31736,18743,1038,21,NA,595,500,NA,489105
"896","Buffalo, New York",1906,22712,12983,2053,17,1684,784,563,1274,395183
"897","Washington, DC",1906,32940,12889,2081,22,7042,694,635,6,310128
"898","Newark, New Jersey",1906,8673,4827,365,31,2747,490,302,NA,306910
"899","Louisville, Kentucky",1906,7806,2439,NA,53,NA,330,261,NA,216249
"900","Detroit, Michigan",1906,12324,7019,1810,10,2327,637,461,NA,393741
"901","Milwaukee, Wisconsin",1906,6804,4573,603,15,690,403,337,1754,338440
"902","Providence, Rhode Island",1906,12262,7416,1874,8,NA,NA,NA,NA,204835
"903","Rochester, New York",1906,7737,NA,NA,NA,NA,NA,NA,NA,195932
"904","Pittsburgh, Pennsylvania",1906,NA,NA,NA,NA,NA,NA,NA,NA,448990
"905","Richmond, Virginia",1906,7982,3634,800,20,NA,101,NA,NA,110597
"906","New Haven, Connecticut",1906,5614,3670,281,11,NA,NA,NA,NA,123374
"907","Lowell, Massachusetts",1906,4894,3489,127,3,NA,152,125,83,101764
"908","New York, New York",1907,204119,93538,15735,846,82504,9410,8377,NA,4368119
"909","Philadelphia, Pennsylvania",1907,85863,49945,5189,122,NA,3201,2275,NA,1472415
"910","Chicago, Illinois",1907,63132,35650,542,98,29867,4529,3636,23642,2039271
"911","Boston, Massachusetts",1907,57078,37783,1958,51,2151,1388,1005,NA,637677
"912","St. Louis, Missouri",1907,32959,18070,1400,46,5095,NA,1100,12206,653492
"913","Baltimore, Maryland",1907,34574,19952,407,38,13911,1032,725,10,543627
"914","Cincinnati, Ohio",1907,16141,4828,4468,34,NA,561,409,6538,352284
"915","San Francisco, California",1907,27013,11687,1646,136,NA,759,594,NA,394673
"916","New Orleans, Louisiana",1907,29709,11485,NA,75,NA,NA,NA,776,323484
"917","Cleveland, Ohio",1907,30418,17953,1002,31,NA,645,550,NA,506994
"918","Buffalo, New York",1907,27128,17258,2578,16,2289,783,563,1150,402316
"919","Washington, DC",1907,34417,13745,1918,22,7429,719,647,12,315363
"920","Newark, New Jersey",1907,10178,5123,469,40,3614,559,465,NA,317050
"921","Louisville, Kentucky",1907,7907,4586,848,36,NA,340,267,NA,218169
"922","Detroit, Michigan",1907,11291,5845,1475,6,4045,679,497,NA,411748
"923","Milwaukee, Wisconsin",1907,8277,4621,925,5,620,453,387,1704,347294
"924","Providence, Rhode Island",1907,12953,7979,1298,11,NA,NA,NA,NA,209708
"925","Rochester, New York",1907,7971,NA,NA,NA,NA,NA,NA,NA,201487
"926","Pittsburgh, Pennsylvania",1907,NA,NA,NA,NA,NA,NA,NA,NA,470219
"927","Richmond, Virginia",1907,9602,3834,1063,17,NA,125,87,NA,114855
"928","New Haven, Connecticut",1907,5473,3593,320,3,NA,193,NA,NA,125932
"929","Lowell, Massachusetts",1907,4727,3656,147,5,NA,NA,NA,74,102896
"930","New York, New York",1908,244822,NA,NA,NA,84381,9958,8391,NA,4501107
"931","Philadelphia, Pennsylvania",1908,90552,58835,9377,132,NA,3356,2425,NA,1497946
"932","Chicago, Illinois",1908,68220,40875,1196,71,35593,4733,3760,NA,2087941
"933","Boston, Massachusetts",1908,68146,42997,3261,34,3245,1531,1035,NA,648646
"934","St. Louis, Missouri",1908,33152,19581,1042,41,5375,NA,1400,31382,664671
"935","Baltimore, Maryland",1908,34846,18619,623,39,14745,1050,725,5,548579
"936","Cincinnati, Ohio",1908,17396,4599,6718,33,NA,631,458,20199,356053
"937","San Francisco, California",1908,38738,13775,3441,169,NA,802,NA,NA,402086
"938","New Orleans, Louisiana",1908,30213,10053,NA,101,NA,NA,NA,1060,328681
"939","Cleveland, Ohio",1908,10085,3815,352,36,NA,645,550,NA,524884
"940","Buffalo, New York",1908,32719,9576,6473,18,5944,780,563,7538,409448
"941","Washington, DC",1908,33415,13222,1901,20,7495,730,658,NA,320598
"942","Newark, New Jersey",1908,8973,4081,490,25,3149,619,492,NA,327190
"943","Louisville, Kentucky",1908,10824,NA,NA,NA,NA,NA,NA,NA,220089
"944","Detroit, Michigan",1908,11676,6854,1173,10,4494,694,508,NA,429754
"945","Milwaukee, Wisconsin",1908,8175,4839,1085,13,685,454,387,4898,356149
"946","Providence, Rhode Island",1908,11745,6891,1755,7,NA,355,255,NA,214581
"947","Rochester, New York",1908,8685,NA,NA,NA,NA,NA,NA,NA,207041
"948","Pittsburgh, Pennsylvania",1908,42908,24777,NA,NA,NA,NA,NA,17569,491448
"949","Richmond, Virginia",1908,8989,3884,611,11,NA,125,NA,NA,119112
"950","New Haven, Connecticut",1908,5683,3453,279,8,NA,NA,NA,NA,128489
"951","Lowell, Massachusetts",1908,4839,3606,151,5,NA,NA,NA,97,104029
"952","New York, New York",1909,220334,85257,6257,647,73084,10131,8523,NA,4634095
"953","Philadelphia, Pennsylvania",1909,80879,46527,7526,112,NA,3487,2540,NA,1523477
"954","Chicago, Illinois",1909,70575,43398,1040,95,39000,4706,3817,NA,2136612
"955","Boston, Massachusetts",1909,71512,45829,4119,26,2426,1548,1135,NA,659616
"956","St. Louis, Missouri",1909,38128,19268,746,38,18016,NA,1400,36461,675820
"957","Baltimore, Maryland",1909,31806,17395,490,35,13650,1050,725,1,553532
"958","Cincinnati, Ohio",1909,16329,4377,5758,20,NA,627,458,8619,359822
"959","San Francisco, California",1909,34336,12756,3551,91,NA,892,722,NA,409499
"960","New Orleans, Louisiana",1909,27044,10767,NA,57,NA,NA,NA,380,333878
"961","Cleveland, Ohio",1909,6018,1200,318,28,NA,645,550,NA,542774
"962","Buffalo, New York",1909,NA,NA,NA,NA,NA,NA,NA,NA,416581
"963","Washington, DC",1909,35910,13489,2466,26,7078,730,658,NA,325833
"964","Newark, New Jersey",1909,8618,3883,328,38,2795,618,492,NA,337330
"965","Louisville, Kentucky",1909,12852,7057,1493,34,NA,403,309,NA,222008
"966","Detroit, Michigan",1909,14718,8365,987,16,5334,711,526,NA,447760
"967","Milwaukee, Wisconsin",1909,7817,4531,1001,8,695,453,387,3657,365003
"968","Providence, Rhode Island",1909,NA,NA,NA,NA,NA,NA,NA,NA,219454
"969","Rochester, New York",1909,8157,3633,1121,9,NA,NA,NA,NA,212595
"970","Pittsburgh, Pennsylvania",1909,35621,24405,6431,6,18781,NA,NA,12663,512677
"971","Richmond, Virginia",1909,9290,4731,791,13,NA,125,NA,NA,123370
"972","New Haven, Connecticut",1909,5765,3422,267,6,NA,181,139,NA,131047
"973","Lowell, Massachusetts",1909,4797,3376,220,2,NA,NA,NA,NA,105162
"974","New York, New York",1910,170681,66031,4351,443,61125,9963,8374,NA,4766883
"975","Philadelphia, Pennsylvania",1910,82017,46930,6021,226,NA,3612,2647,NA,1549008
"976","Chicago, Illinois",1910,81269,51791,1572,81,44286,4260,NA,NA,2185283
"977","Boston, Massachusetts",1910,71207,48117,2331,45,2403,1585,1183,NA,670585
"978","St. Louis, Missouri",1910,37102,18995,436,36,12685,NA,1400,10589,687029
"979","Baltimore, Maryland",1910,33055,18099,489,42,14057,1052,725,NA,558485
"980","Cincinnati, Ohio",1910,16875,4910,5254,43,NA,643,460,14345,363591
"981","San Francisco, California",1910,29855,12750,3275,124,NA,892,721,NA,426912
"982","New Orleans, Louisiana",1910,25087,10255,NA,68,NA,NA,NA,NA,339075
"983","Cleveland, Ohio",1910,7185,1201,255,35,NA,650,550,NA,560663
"984","Buffalo, New York",1910,22203,12598,1163,21,1730,813,586,2999,423715
"985","Washington, DC",1910,34003,12539,2787,13,6699,730,658,NA,331069
"986","Newark, New Jersey",1910,9200,3939,329,36,2352,631,500,NA,347469
"987","Louisville, Kentucky",1910,14183,8422,1701,44,NA,413,330,NA,223928
"988","Detroit, Michigan",1910,17875,11396,1238,19,6037,732,553,NA,465766
"989","Milwaukee, Wisconsin",1910,8827,4935,660,14,785,531,451,4056,373857
"990","Providence, Rhode Island",1910,NA,NA,NA,NA,NA,NA,NA,NA,224326
"991","Rochester, New York",1910,8022,3819,883,13,NA,NA,NA,NA,218149
"992","Pittsburgh, Pennsylvania",1910,39151,26320,6914,6,NA,1290,740,10818,533905
"993","Richmond, Virginia",1910,9603,3909,939,16,NA,125,NA,NA,127628
"994","New Haven, Connecticut",1910,6193,3237,506,3,NA,194,140,NA,133605
"995","Lowell, Massachusetts",1910,4771,3518,318,6,NA,NA,NA,NA,106294
"996","New York, New York",1911,153768,60261,5854,366,48384,10207,8585,NA,4852200
"997","Philadelphia, Pennsylvania",1911,87557,50015,7386,122,NA,3865,2849,NA,1576485
"998","Chicago, Illinois",1911,84838,49384,795,121,49034,4926,3948,NA,2236925
"999","Boston, Massachusetts",1911,70442,46713,2564,52,2595,1594,1193,NA,678333
"1000","St. Louis, Missouri",1911,34868,17555,283,69,11567,NA,1400,9924,695614
"1001","Baltimore, Maryland",1911,32758,17682,483,37,14451,1052,725,NA,576019
"1002","Cincinnati, Ohio",1911,18031,NA,3646,NA,NA,679,NA,16125,367357
"1003","San Francisco, California",1911,32914,13644,3481,94,NA,935,722,NA,425888
"1004","New Orleans, Louisiana",1911,25559,11546,NA,57,NA,NA,NA,NA,343889
"1005","Cleveland, Ohio",1911,NA,NA,NA,NA,NA,663,555,NA,584281
"1006","Buffalo, New York",1911,24229,12651,3076,22,2730,824,580,4513,432021
"1007","Washington, DC",1911,34068,12021,1967,24,6301,735,658,NA,341719
"1008","Newark, New Jersey",1911,8791,3691,249,35,2322,675,547,NA,354174
"1009","Louisville, Kentucky",1911,16434,10433,2181,44,NA,417,334,NA,225024
"1010","Detroit, Michigan",1911,NA,NA,NA,NA,NA,NA,NA,NA,518557
"1011","Milwaukee, Wisconsin",1911,9145,4760,750,11,725,525,451,6041,382186
"1012","Providence, Rhode Island",1911,11344,7626,906,10,NA,405,310,NA,225653
"1013","Rochester, New York",1911,7596,3444,985,5,NA,304,265,609,225909
